"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8375","Form Authentication with invalid credentials","webkit","2026-05-25","passed","2026-05-25","","formAunth.spec.js","",""
"","6764","has title","firefox","2026-05-25","passed","2026-05-25","","example.spec.js","",""
"","3912","has title","webkit","2026-05-25","passed","2026-05-25","","example.spec.js","",""
"","8746","Form Authentication","webkit","2026-05-25","passed","2026-05-25","","formAunth.spec.js","",""
"","7204","Form Authentication","chromium","2026-05-25","passed","2026-05-25","","formAunth.spec.js","",""
"","6563","get started link","chromium","2026-05-25","passed","2026-05-25","","example.spec.js","",""
"","11667","Validate the new window","firefox","2026-05-25","passed","2026-05-25","","windowHandling.spec.js","",""
"","7877","Form Authentication","firefox","2026-05-25","passed","2026-05-25","","formAunth.spec.js","",""
"","6229","Register an account","firefox","2026-05-25","failed","2026-05-25","","registerAcc.spec.js","",""
"","7928","Validate the new window","chromium","2026-05-25","passed","2026-05-25","","windowHandling.spec.js","",""
"","6384","Validate the nested frame","firefox","2026-05-25","failed","2026-05-25","","frameValidation.spec.js","",""
"","8672","Validate the nested frame","chromium","2026-05-25","passed","2026-05-25","","frameValidation.spec.js","",""
"","2991","Register an account","chromium","2026-05-25","failed","2026-05-25","","registerAcc.spec.js","",""
"","11036","Validate the frame","chromium","2026-05-25","failed","2026-05-25","","frameValidation.spec.js","",""
"","9229","get started link","firefox","2026-05-25","passed","2026-05-25","","example.spec.js","",""
"","4782","get started link","webkit","2026-05-25","passed","2026-05-25","","example.spec.js","",""
"","8912","Form Authentication with invalid credentials","firefox","2026-05-25","passed","2026-05-25","","formAunth.spec.js","",""
"","8167","Validate the frame","webkit","2026-05-25","failed","2026-05-25","","frameValidation.spec.js","",""
"","7495","Validate the new window","webkit","2026-05-25","passed","2026-05-25","","windowHandling.spec.js","",""
"","10737","Validate the frame","firefox","2026-05-25","failed","2026-05-25","","frameValidation.spec.js","",""
"","6897","Validate the nested frame","webkit","2026-05-25","passed","2026-05-25","","frameValidation.spec.js","",""
"","6846","Form Authentication with invalid credentials","chromium","2026-05-25","passed","2026-05-25","","formAunth.spec.js","",""
"","4304","Register an account","webkit","2026-05-25","failed","2026-05-25","","registerAcc.spec.js","",""
"","6261","has title","chromium","2026-05-25","passed","2026-05-25","","example.spec.js","",""
